Time(d)	Time (s)	Temperature	Humidity
0	0	275.63	0.9638
1	86400	276.78999999999996	0.9538
2	172800	276.91999999999996	0.9462
3	259200	277.45	0.95
4	345600	277.01	0.9625
5	432000	277.17999999999995	0.9394
6	518400	274.58	0.9575
7	604800	274.58	0.95
8	691200	274.96	0.9438
9	777600	274.98999999999995	0.9756
10	864000	278.97999999999996	0.9538
11	950400	278.66999999999996	0.895
12	1036800	278.71999999999997	0.925
13	1123200	279.22999999999996	0.9631000000000001
14	1209600	275.88	0.8625
15	1296000	277.72999999999996	0.9231
16	1382400	277.96	0.9388
17	1468800	278.69	0.9469
18	1555200	282.38	0.9375
19	1641600	282.04999999999995	0.9218999999999999
20	1728000	278.81	0.8969
21	1814400	277.2	0.94
22	1900800	275.35999999999996	0.9381
23	1987200	275.02	0.9275
24	2073600	274.85999999999996	0.9556
25	2160000	276.39	0.9281
26	2246400	279.95	0.98
27	2332800	282.59	0.9494
28	2419200	280.91999999999996	0.93
29	2505600	278.31	0.9381
30	2592000	276.64	0.8962
31	2678400	277.84	0.9194
32	2764800	281.90999999999997	0.9356
33	2851200	280.15999999999997	0.9425
34	2937600	279.71	0.9643999999999999
35	3024000	279.65999999999997	0.9506
36	3110400	278.79999999999995	0.9431
37	3196800	274.97999999999996	0.865
38	3283200	273.92999999999995	0.8619
39	3369600	273.88	0.8094
40	3456000	273.97999999999996	0.8181
41	3542400	273.79999999999995	0.7831
42	3628800	273.5	0.7425
43	3715200	273.25	0.7044
44	3801600	275.7	0.7437999999999999
45	3888000	279.7	0.9656
46	3974400	280.15	0.9562
47	4060800	281.15999999999997	0.9281
48	4147200	279.65	0.9062
49	4233600	280.34	0.94
50	4320000	282.25	0.8719
51	4406400	282.28	0.92
52	4492800	280.90999999999997	0.9625
53	4579200	281.33	0.895
54	4665600	282.38	0.8637999999999999
55	4752000	281.13	0.8987999999999999
56	4838400	278.34999999999997	0.8381000000000001
57	4924800	278.21999999999997	0.9031
58	5011200	279.4	0.9131
59	5097600	279.29999999999995	0.9025
60	5184000	279.04999999999995	0.9381
61	5270400	280.14	0.9643999999999999
62	5356800	278.54999999999995	0.9162
63	5443200	276.79999999999995	0.8338
64	5529600	276.01	0.8244
65	5616000	275.32	0.7787999999999999
66	5702400	276.34	0.7525
67	5788800	278.41999999999996	0.8731
68	5875200	279.91999999999996	0.9212
69	5961600	280.95	0.8406
70	6048000	279.84999999999997	0.87
71	6134400	279.38	0.83
72	6220800	279.97999999999996	0.8737999999999999
73	6307200	280.78999999999996	0.8719
74	6393600	280.79999999999995	0.9238
75	6480000	279.13	0.8794
76	6566400	279.81	0.8975
77	6652800	279.53999999999996	0.8262
78	6739200	280.19	0.8812000000000001
79	6825600	280.89	0.8419
80	6912000	279.57	0.87
81	6998400	279.59	0.8937999999999999
82	7084800	280.41999999999996	0.9156
83	7171200	281.13	0.895
84	7257600	280.91999999999996	0.9018999999999999
85	7344000	280.41999999999996	0.8225
86	7430400	281.52	0.8881
87	7516800	282.15	0.8438
88	7603200	282.45	0.7681
89	7689600	283.88	0.8144
90	7776000	281.82	0.8419
91	7862400	280.16999999999996	0.7975
92	7948800	280.04999999999995	0.785
93	8035200	280.28	0.8388
94	8121600	278.94	0.7275
95	8208000	276.58	0.7719
96	8294400	276.88	0.7544
97	8380800	278.96	0.7637999999999999
98	8467200	281.15999999999997	0.8325
99	8553600	278.96999999999997	0.9156
