TimeStamp,Td,RH
timestamp,degC,%
2022-07-01 00:05:00,12.04,87.0
2022-07-01 00:10:00,12.06,87.0
2022-07-01 00:15:00,12.09,87.1
2022-07-01 00:20:00,12.08,87.1
2022-07-01 00:25:00,12.09,87.3
2022-07-01 00:30:00,12.06,87.6
2022-07-01 00:35:00,12.08,87.8
2022-07-01 00:40:00,12.02,88.0
2022-07-01 00:45:00,12.05,88.3
2022-07-01 00:50:00,12.07,88.5
2022-07-01 00:55:00,12.09,88.6
2022-07-01 01:00:00,12.1,88.7
2022-07-01 01:05:00,12.12,88.8
2022-07-01 01:10:00,12.14,88.9
2022-07-01 01:15:00,12.18,88.7
2022-07-01 01:20:00,12.18,88.7
2022-07-01 01:25:00,12.16,88.8
2022-07-01 01:30:00,12.19,88.8
2022-07-01 01:35:00,12.19,88.6
2022-07-01 01:40:00,12.19,88.5
2022-07-01 01:45:00,12.17,88.3
2022-07-01 01:50:00,12.12,88.4
2022-07-01 01:55:00,12.11,88.4
2022-07-01 02:00:00,12.08,88.6
2022-07-01 02:05:00,12.08,88.8
2022-07-01 02:10:00,12.15,88.8
2022-07-01 02:15:00,12.17,88.7
2022-07-01 02:20:00,12.19,88.6
2022-07-01 02:25:00,12.19,88.7
2022-07-01 02:30:00,12.2,88.8
2022-07-01 02:35:00,12.26,88.8
2022-07-01 02:40:00,12.22,88.9
2022-07-01 02:45:00,12.18,89.0
2022-07-01 02:50:00,12.16,89.1
2022-07-01 02:55:00,12.18,89.3
2022-07-01 03:00:00,12.18,89.3
2022-07-01 03:05:00,12.18,89.3
2022-07-01 03:10:00,12.18,89.4
2022-07-01 03:15:00,12.15,89.6
2022-07-01 03:20:00,12.14,89.7
2022-07-01 03:25:00,12.11,89.9
2022-07-01 03:30:00,12.1,90.0
2022-07-01 03:35:00,12.13,90.0
2022-07-01 03:40:00,12.1,90.0
2022-07-01 03:45:00,12.09,89.9
2022-07-01 03:50:00,12.06,90.0
2022-07-01 03:55:00,12.06,90.0
2022-07-01 04:00:00,12.02,90.3
2022-07-01 04:05:00,11.99,90.6
2022-07-01 04:10:00,11.91,90.7
2022-07-01 04:15:00,11.79,90.8
2022-07-01 04:20:00,11.69,91.1
2022-07-01 04:25:00,11.58,91.4
2022-07-01 04:30:00,11.46,91.6
2022-07-01 04:35:00,11.37,92.0
2022-07-01 04:40:00,11.38,92.3
2022-07-01 04:45:00,11.26,92.5
2022-07-01 04:50:00,11.17,92.6
2022-07-01 04:55:00,11.14,92.9
2022-07-01 05:00:00,11.18,93.2
2022-07-01 05:05:00,11.19,93.3
2022-07-01 05:10:00,11.16,93.2
2022-07-01 05:15:00,11.22,93.1
2022-07-01 05:20:00,11.3,92.9
2022-07-01 05:25:00,11.35,92.6
